Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,323.540009,324.890015,322.529999,324.869995,314.719208,59151200
1/3/2020,321.160004,323.640015,321.100006,322.410004,312.33606,77709700
1/6/2020,320.48999,323.730011,320.359985,323.640015,313.527649,55653900
1/7/2020,323.019989,323.540009,322.23999,322.730011,312.646027,40496400
1/8/2020,322.940002,325.779999,322.670013,324.450012,314.312317,68296000
1/9/2020,326.160004,326.730011,325.519989,326.649994,316.443573,48473300
1/10/2020,327.290009,327.459991,325.200012,325.709991,315.532928,53029300
1/13/2020,326.390015,327.959991,325.920013,327.950012,317.702942,47086800
1/14/2020,327.470001,328.619995,326.839996,327.450012,317.218567,62832800
1/15/2020,327.350006,329.019989,327.26001,328.190002,317.935455,72056600
1/16/2020,329.700012,330.920013,329.450012,330.920013,320.58017,54050300
1/17/2020,331.700012,332.179993,330.850006,331.950012,321.578003,95846000
1/21/2020,330.899994,332.179993,330.820007,331.299988,320.948273,77742400
1/22/2020,332.23999,332.950012,331.170013,331.339996,320.98703,48914900
1/23/2020,330.630005,332.170013,329.410004,331.720001,321.355194,51963000
1/24/2020,332.440002,332.529999,327.359985,328.769989,318.497314,87578400
1/27/2020,323.029999,325.119995,322.660004,323.5,313.391968,84062500
1/28/2020,325.059998,327.850006,323.600006,326.890015,316.676117,63834000
1/29/2020,328.380005,328.630005,326.399994,326.619995,316.41449,53888900
1/30/2020,324.359985,327.910004,323.540009,327.679993,317.441437,75491800
1/31/2020,327,327.170013,320.730011,321.730011,311.677307,113845600
2/3/2020,323.350006,326.160004,323.220001,324.119995,313.992615,69083000
2/4/2020,328.070007,330.01001,327.720001,329.059998,318.778259,62573200
2/5/2020,332.269989,333.089996,330.670013,332.859985,322.459503,65951100
2/6/2020,333.910004,334.190002,332.799988,333.980011,323.544556,50359700
2/7/2020,332.820007,333.98999,331.600006,332.200012,321.82016,64139400
2/10/2020,331.230011,334.75,331.190002,334.679993,324.222656,42070000
2/11/2020,336.160004,337.019989,334.679993,335.26001,324.784576,54864500
2/12/2020,336.829987,337.649994,336.429993,337.420013,326.877106,43992700
2/13/2020,335.859985,338.119995,335.559998,337.059998,326.52832,54501900
2/14/2020,337.51001,337.730011,336.200012,337.600006,327.051422,64582200
2/18/2020,336.51001,337.670013,335.209991,336.730011,326.208618,57226200
2/19/2020,337.790009,339.079987,337.480011,338.339996,327.768341,48814700
2/20/2020,337.73999,338.640015,333.679993,336.950012,326.421722,74163400
2/21/2020,335.470001,335.809998,332.579987,333.480011,323.06015,113788200
2/24/2020,323.140015,333.559998,321.23999,322.420013,312.345734,161088400
2/25/2020,323.940002,324.609985,311.690002,312.649994,302.881012,218913200
2/26/2020,314.179993,318.109985,310.700012,311.5,301.766937,194773800
2/27/2020,305.459991,311.559998,297.51001,297.51001,288.214081,284353500
2/28/2020,288.700012,297.890015,285.540009,296.26001,287.003113,384975800
3/2/2020,298.209991,309.160004,294.459991,309.089996,299.432251,238703600
3/3/2020,309.5,313.839996,297.570007,300.23999,290.858795,300139100
3/4/2020,306.119995,313.100006,303.329987,312.859985,303.084442,176613400
3/5/2020,304.980011,308.470001,300.01001,302.459991,293.009369,186366800
3/6/2020,293.149994,298.779999,290.230011,297.459991,288.165619,228667200
3/9/2020,275.299988,284.190002,273.450012,274.230011,265.661499,309417300
3/10/2020,284.640015,288.519989,273.5,288.420013,279.408112,276444100
3/11/2020,280.700012,281.940002,270.880005,274.359985,265.787415,255316300
3/12/2020,256,266.660004,247.679993,248.110001,240.35759,392220700
3/13/2020,263.089996,271.480011,248.520004,269.320007,260.904938,329566100
3/16/2020,241.179993,256.899994,237.360001,239.850006,232.355713,297240000
3/17/2020,245.039993,256.170013,237.070007,252.800003,244.901077,262070500
3/18/2020,236.25,248.369995,228.020004,240,232.501022,327597100
3/19/2020,239.25,247.380005,232.220001,240.509995,232.995102,289322000
3/20/2020,242.529999,244.470001,228.5,228.800003,222.954346,347158800
3/23/2020,228.190002,229.679993,218.259995,222.949997,217.253799,326025200
3/24/2020,234.419998,244.100006,233.800003,243.149994,236.937698,235494500
3/25/2020,244.869995,256.350006,239.75,246.789993,240.484695,299430300
3/26/2020,249.520004,262.799988,249.050003,261.200012,254.52652,257632800
3/27/2020,253.270004,260.809998,251.050003,253.419998,246.945328,224341200
3/30/2020,255.699997,262.429993,253.529999,261.649994,254.965057,171369500
3/31/2020,260.559998,263.329987,256.220001,257.75,251.164688,194881100
4/1/2020,247.979996,257.660004,243.899994,246.149994,239.861023,189554600
4/2/2020,245.190002,252.679993,244.589996,251.830002,245.39595,177660400
4/3/2020,250.759995,253.320007,245.220001,248.190002,241.848953,135561200
4/6/2020,257.839996,267,248.169998,264.859985,258.093018,188061200
4/7/2020,274.209991,275.029999,264.890015,265.130005,258.356171,201427200
4/8/2020,267.959991,276,265.25,274.029999,267.028748,153774500
4/9/2020,277.579987,281.200012,275.470001,278.200012,271.092224,189999200
4/13/2020,277.140015,277.51001,271.410004,275.660004,268.617096,114839100
4/14/2020,280.980011,284.899994,275.51001,283.790009,276.539368,134143400
4/15/2020,277.570007,283.940002,275.459991,277.76001,270.663422,121775000
4/16/2020,279.149994,280.029999,275.76001,279.100006,271.969238,131798300
4/17/2020,285.380005,287.299988,282.399994,286.640015,279.316589,146684800
4/20/2020,282.609985,286.790009,281.350006,281.589996,274.395599,100109300
4/21/2020,276.730011,278.040009,272.019989,273.040009,266.064117,126385700
4/22/2020,278.350006,281,276.910004,279.100006,271.969238,92951600
4/23/2020,280.48999,283.940002,278.75,279.079987,271.949677,104709700
4/24/2020,280.730011,283.700012,278.5,282.970001,275.740326,85063200
4/27/2020,285.119995,288.269989,284.619995,287.049988,279.716064,77896600
4/28/2020,291.019989,291.399994,285.399994,285.730011,278.429871,105270000
4/29/2020,291.529999,294.880005,290.410004,293.209991,285.718719,118745600
4/30/2020,291.709991,293.320007,288.589996,290.480011,283.058441,122901700
5/1/2020,285.309998,290.660004,281.519989,282.790009,275.564941,125180000
5/4/2020,280.73999,283.899994,279.130005,283.570007,276.325043,80873200
5/5/2020,286.640015,289.25,283.709991,286.190002,278.878113,79569900
5/6/2020,288.040009,288.459991,283.779999,284.25,276.98761,73632600
5/7/2020,287.75,289.779999,287.130005,287.679993,280.329987,75250400
5/8/2020,291.089996,292.950012,289.859985,292.440002,284.968414,76452400
5/11/2020,290.339996,294,289.880005,292.5,285.026855,79514200
5/12/2020,293.790009,294.23999,286.519989,286.670013,279.345795,95870800
5/13/2020,286.059998,287.190002,278.959991,281.600006,274.405365,144721100
5/14/2020,278.950012,285.109985,272.98999,284.970001,277.68924,121977900
5/15/2020,282.369995,286.329987,281.339996,286.279999,278.965759,111146300
5/18/2020,293.049988,296.75,292.700012,295,287.462982,119703800
5/19/2020,294.350006,296.209991,291.950012,291.970001,284.510437,95189300
5/20/2020,295.820007,297.869995,295.570007,296.929993,289.343658,85861700
5/21/2020,296.790009,297.670013,293.690002,294.880005,287.346039,78293900
5/22/2020,294.570007,295.630005,293.220001,295.440002,287.891754,63958200
5/26/2020,301.929993,302.190002,295.459991,299.079987,291.438721,88951400
5/27/2020,302.119995,303.570007,296.869995,303.529999,295.775024,104817400
5/28/2020,304.649994,306.839996,302.23999,302.970001,295.22934,90405200
5/29/2020,302.459991,304.959991,299.470001,304.320007,296.544891,119090800
6/1/2020,303.619995,306.209991,303.059998,305.549988,297.743378,55758300
6/2/2020,306.549988,308.130005,305.100006,308.079987,300.208801,74267200
6/3/2020,310.23999,313.220001,309.940002,312.179993,304.204041,92567600
6/4/2020,311.109985,313,309.079987,311.359985,303.405029,75794400
6/5/2020,317.230011,321.269989,317.160004,319.339996,311.181122,150524700
6/8/2020,320.220001,323.410004,319.630005,323.200012,314.942474,73641200
6/9/2020,320.299988,323.279999,319.359985,320.790009,312.594086,77479200
6/10/2020,321.420013,322.390015,318.220001,319,310.849792,95000800
6/11/2020,311.459991,312.149994,300.01001,300.609985,292.929626,209243600
6/12/2020,308.23999,309.079987,298.600006,304.209991,296.437683,194678900
6/15/2020,298.019989,308.279999,296.73999,307.049988,299.205109,135782700
6/16/2020,315.480011,315.640015,307.670013,312.959991,304.964081,137627500
6/17/2020,314.070007,314.390015,310.859985,311.660004,303.697327,83398900
6/18/2020,310.01001,312.299988,309.51001,311.779999,303.81424,80828700
6/19/2020,314.170013,314.380005,306.529999,308.640015,302.078003,135549600
6/22/2020,307.98999,311.049988,306.75,310.619995,304.015869,74649400
6/23/2020,313.48999,314.5,311.609985,312.049988,305.415466,68471200
6/24/2020,309.839996,310.51001,302.100006,304.089996,297.624725,132813500
6/25/2020,303.470001,307.640015,301.279999,307.350006,300.81543,89468000
6/26/2020,306.160004,306.390015,299.420013,300.049988,293.670624,127961000
6/29/2020,301.410004,304.609985,298.929993,304.459991,297.986816,79773300
6/30/2020,303.98999,310.200012,303.820007,308.359985,301.803955,113394800
7/1/2020,309.570007,311.890015,309.070007,310.519989,303.917969,72396500
7/2/2020,314.23999,315.700012,311.51001,312.230011,305.591675,69344200
7/6/2020,316.369995,317.679993,315.559998,317.049988,310.309174,61713800
7/7/2020,315.380005,317.519989,313.369995,313.779999,307.108704,82910000
7/8/2020,314.609985,316.299988,312.700012,316.179993,309.457672,54638600
7/9/2020,316.839996,317.100006,310.679993,314.380005,307.695984,83354200
7/10/2020,314.309998,317.880005,312.76001,317.589996,310.837708,57550400
7/13/2020,320.130005,322.709991,314.130005,314.839996,308.146179,102997500
7/14/2020,313.299988,319.76001,312,318.920013,312.139404,93657000
7/15/2020,322.410004,323.040009,319.269989,321.850006,315.007172,87196500
7/16/2020,319.790009,321.279999,319.089996,320.790009,313.969666,54622500
7/17/2020,321.880005,322.570007,319.73999,321.720001,314.879883,62774900
7/20/2020,321.429993,325.130005,320.619995,324.320007,317.424622,56308800
7/21/2020,326.450012,326.929993,323.940002,325.01001,318.099976,57292200
7/22/2020,324.619995,327.200012,324.5,326.859985,319.910583,57792900
7/23/2020,326.470001,327.230011,321.480011,322.959991,316.093536,75738000
7/24/2020,320.950012,321.98999,319.25,320.880005,314.057739,73766600
7/27/2020,321.630005,323.410004,320.769989,323.220001,316.348022,48293000
7/28/2020,322.429993,323.640015,320.850006,321.170013,314.341644,57495000
7/29/2020,322.119995,325.730011,322.079987,325.119995,318.207611,48454200
7/30/2020,321.899994,324.410004,319.640015,323.959991,317.072266,61861700
7/31/2020,325.899994,326.630005,321.329987,326.519989,319.57782,84986800
8/3/2020,328.320007,329.619995,327.730011,328.790009,321.799622,53077900
8/4/2020,327.859985,330.059998,327.859985,330.059998,323.042572,41917900
8/5/2020,331.470001,332.390015,331.179993,332.109985,325.048981,42697700
8/6/2020,331.480011,334.459991,331.130005,334.329987,327.221771,43679400
8/7/2020,333.279999,334.880005,332.299988,334.570007,327.456726,57308300
8/10/2020,335.059998,335.769989,332.959991,335.570007,328.435455,44282100
